trial_in_block,outcome_level,actual_outcome,effort,action_type,trial_order,attention_focus,global_effort_state,block_number,trial_in_experiment,schedule_version
38,60,62,65,approach,order1,heart,normal,1,38,A_962
39,100,83,80,approach,order1,heart,normal,1,39,A_962
40,20,16,85,approach,order1,heart,normal,1,40,A_962
41,100,101,85,approach,order1,heart,normal,1,41,A_962
42,40,41,90,approach,order1,heart,normal,1,42,A_962
43,40,36,55,approach,order1,heart,normal,1,43,A_962
44,40,43,80,approach,order1,heart,normal,1,44,A_962
45,80,86,75,approach,order1,heart,normal,1,45,A_962
46,100,104,75,approach,order1,heart,normal,1,46,A_962
47,60,67,75,approach,order1,heart,normal,1,47,A_962
48,100,98,85,approach,order1,heart,normal,1,48,A_962
49,100,98,65,approach,order1,heart,normal,1,49,A_962
50,60,65,70,approach,order1,heart,normal,1,50,A_962
1,40,32,50,approach,order1,reward,normal,2,51,A_962
2,80,91,95,approach,order1,reward,normal,2,52,A_962
3,60,58,90,approach,order1,reward,normal,2,53,A_962
4,20,19,65,approach,order1,reward,normal,2,54,A_962
5,100,95,50,approach,order1,reward,normal,2,55,A_962
6,80,94,70,approach,order1,reward,normal,2,56,A_962
7,80,82,85,approach,order1,reward,normal,2,57,A_962
8,60,71,70,approach,order1,reward,normal,2,58,A_962
9,80,91,55,approach,order1,reward,normal,2,59,A_962
10,80,87,75,approach,order1,reward,normal,2,60,A_962
11,100,114,90,approach,order1,reward,normal,2,61,A_962
12,40,40,60,approach,order1,reward,normal,2,62,A_962
13,100,85,55,approach,order1,reward,normal,2,63,A_962
14,40,42,60,approach,order1,reward,normal,2,64,A_962
15,20,18,50,approach,order1,reward,normal,2,65,A_962
16,40,34,95,approach,order1,reward,normal,2,66,A_962
17,80,74,80,approach,order1,reward,normal,2,67,A_962
18,60,67,75,approach,order1,reward,normal,2,68,A_962
19,80,72,85,approach,order1,reward,normal,2,69,A_962
20,20,20,90,approach,order1,reward,normal,2,70,A_962
21,40,38,70,approach,order1,reward,normal,2,71,A_962
22,40,39,55,approach,order1,reward,normal,2,72,A_962
23,100,119,60,approach,order1,reward,normal,2,73,A_962
24,80,98,80,approach,order1,reward,normal,2,74,A_962
25,80,97,65,approach,order1,reward,normal,2,75,A_962
26,20,21,55,approach,order1,reward,normal,2,76,A_962
27,40,35,75,approach,order1,reward,normal,2,77,A_962
28,60,60,65,approach,order1,reward,normal,2,78,A_962
29,80,77,90,approach,order1,reward,normal,2,79,A_962
30,80,59,50,approach,order1,reward,normal,2,80,A_962
31,20,23,80,approach,order1,reward,normal,2,81,A_962
32,40,41,50,approach,order1,reward,normal,2,82,A_962
33,20,20,55,approach,order1,reward,normal,2,83,A_962
34,80,81,100,approach,order1,reward,normal,2,84,A_962
35,100,98,90,approach,order1,reward,normal,2,85,A_962
36,40,34,65,approach,order1,reward,normal,2,86,A_962
37,100,91,95,approach,order1,reward,normal,2,87,A_962
38,60,62,65,approach,order1,reward,normal,2,88,A_962
39,100,83,80,approach,order1,reward,normal,2,89,A_962
40,20,16,85,approach,order1,reward,normal,2,90,A_962
41,100,101,85,approach,order1,reward,normal,2,91,A_962
42,40,41,90,approach,order1,reward,normal,2,92,A_962
43,40,36,55,approach,order1,reward,normal,2,93,A_962
44,40,43,80,approach,order1,reward,normal,2,94,A_962
45,80,86,75,approach,order1,reward,normal,2,95,A_962
46,100,104,75,approach,order1,reward,normal,2,96,A_962
47,60,67,75,approach,order1,reward,normal,2,97,A_962
48,100,98,85,approach,order1,reward,normal,2,98,A_962
49,100,98,65,approach,order1,reward,normal,2,99,A_962
50,60,65,70,approach,order1,reward,normal,2,100,A_962
1,-100,-115,65,avoid,order1,heart,normal,3,101,A_962
2,-60,-59,50,avoid,order1,heart,normal,3,102,A_962
3,-20,-19,55,avoid,order1,heart,normal,3,103,A_962
4,-80,-88,100,avoid,order1,heart,normal,3,104,A_962
5,-20,-18,95,avoid,order1,heart,normal,3,105,A_962
6,-20,-21,75,avoid,order1,heart,normal,3,106,A_962
7,-80,-87,65,avoid,order1,heart,normal,3,107,A_962
8,-100,-100,60,avoid,order1,heart,normal,3,108,A_962
9,-20,-20,60,avoid,order1,heart,normal,3,109,A_962
10,-60,-63,100,avoid,order1,heart,normal,3,110,A_962
11,-80,-93,80,avoid,order1,heart,normal,3,111,A_962
12,-20,-16,70,avoid,order1,heart,normal,3,112,A_962
13,-20,-21,50,avoid,order1,heart,normal,3,113,A_962
14,-40,-39,50,avoid,order1,heart,normal,3,114,A_962
15,-40,-38,85,avoid,order1,heart,normal,3,115,A_962
16,-60,-52,80,avoid,order1,heart,normal,3,116,A_962
17,-20,-22,90,avoid,order1,heart,normal,3,117,A_962
18,-20,-17,50,avoid,order1,heart,normal,3,118,A_962
19,-60,-57,95,avoid,order1,heart,normal,3,119,A_962
20,-80,-93,50,avoid,order1,heart,normal,3,120,A_962
21,-20,-17,70,avoid,order1,heart,normal,3,121,A_962
22,-80,-76,90,avoid,order1,heart,normal,3,122,A_962
23,-40,-36,90,avoid,order1,heart,normal,3,123,A_962
24,-100,-95,55,avoid,order1,heart,normal,3,124,A_962
25,-40,-44,80,avoid,order1,heart,normal,3,125,A_962
26,-40,-35,100,avoid,order1,heart,normal,3,126,A_962
27,-40,-41,70,avoid,order1,heart,normal,3,127,A_962
28,-80,-86,95,avoid,order1,heart,normal,3,128,A_962
29,-60,-51,75,avoid,order1,heart,normal,3,129,A_962
30,-40,-37,90,avoid,order1,heart,normal,3,130,A_962
31,-100,-103,80,avoid,order1,heart,normal,3,131,A_962
32,-20,-19,65,avoid,order1,heart,normal,3,132,A_962
33,-20,-20,100,avoid,order1,heart,normal,3,133,A_962
34,-20,-22,55,avoid,order1,heart,normal,3,134,A_962
35,-80,-85,75,avoid,order1,heart,normal,3,135,A_962
36,-60,-59,60,avoid,order1,heart,normal,3,136,A_962
37,-20,-19,65,avoid,order1,heart,normal,3,137,A_962
38,-60,-62,95,avoid,order1,heart,normal,3,138,A_962
39,-60,-59,85,avoid,order1,heart,normal,3,139,A_962
40,-100,-97,85,avoid,order1,heart,normal,3,140,A_962
41,-20,-21,60,avoid,order1,heart,normal,3,141,A_962
42,-60,-54,65,avoid,order1,heart,normal,3,142,A_962
43,-100,-99,90,avoid,order1,heart,normal,3,143,A_962
44,-40,-32,85,avoid,order1,heart,normal,3,144,A_962
45,-40,-43,95,avoid,order1,heart,normal,3,145,A_962
46,-40,-38,80,avoid,order1,heart,normal,3,146,A_962
47,-60,-61,55,avoid,order1,heart,normal,3,147,A_962
48,-60,-58,100,avoid,order1,heart,normal,3,148,A_962
49,-40,-42,75,avoid,order1,heart,normal,3,149,A_962
50,-60,-59,90,avoid,order1,heart,normal,3,150,A_962
1,40,32,50,approach,order1,heart,shifted,4,151,A_962
2,80,91,95,approach,order1,heart,shifted,4,152,A_962
3,60,58,90,approach,order1,heart,shifted,4,153,A_962
4,20,19,65,approach,order1,heart,shifted,4,154,A_962
5,100,95,50,approach,order1,heart,shifted,4,155,A_962
6,80,94,70,approach,order1,heart,shifted,4,156,A_962
7,80,82,85,approach,order1,heart,shifted,4,157,A_962
8,60,71,70,approach,order1,heart,shifted,4,158,A_962
9,80,91,55,approach,order1,heart,shifted,4,159,A_962
10,80,87,75,approach,order1,heart,shifted,4,160,A_962
11,100,114,90,approach,order1,heart,shifted,4,161,A_962
12,40,40,60,approach,order1,heart,shifted,4,162,A_962
13,100,85,55,approach,order1,heart,shifted,4,163,A_962
14,40,42,60,approach,order1,heart,shifted,4,164,A_962
15,20,18,50,approach,order1,heart,shifted,4,165,A_962
16,40,34,95,approach,order1,heart,shifted,4,166,A_962
17,80,74,80,approach,order1,heart,shifted,4,167,A_962
18,60,67,75,approach,order1,heart,shifted,4,168,A_962
19,80,72,85,approach,order1,heart,shifted,4,169,A_962
20,20,20,90,approach,order1,heart,shifted,4,170,A_962
21,40,38,70,approach,order1,heart,shifted,4,171,A_962
22,40,39,55,approach,order1,heart,shifted,4,172,A_962
23,100,119,60,approach,order1,heart,shifted,4,173,A_962
24,80,98,80,approach,order1,heart,shifted,4,174,A_962
25,80,97,65,approach,order1,heart,shifted,4,175,A_962
26,20,21,55,approach,order1,heart,shifted,4,176,A_962
27,40,35,75,approach,order1,heart,shifted,4,177,A_962
28,60,60,65,approach,order1,heart,shifted,4,178,A_962
29,80,77,90,approach,order1,heart,shifted,4,179,A_962
30,80,59,50,approach,order1,heart,shifted,4,180,A_962
31,20,23,80,approach,order1,heart,shifted,4,181,A_962
32,40,41,50,approach,order1,heart,shifted,4,182,A_962
33,20,20,55,approach,order1,heart,shifted,4,183,A_962
34,80,81,100,approach,order1,heart,shifted,4,184,A_962
35,100,98,90,approach,order1,heart,shifted,4,185,A_962
36,40,34,65,approach,order1,heart,shifted,4,186,A_962
37,100,91,95,approach,order1,heart,shifted,4,187,A_962
38,60,62,65,approach,order1,heart,shifted,4,188,A_962
39,100,83,80,approach,order1,heart,shifted,4,189,A_962
40,20,16,85,approach,order1,heart,shifted,4,190,A_962
41,100,101,85,approach,order1,heart,shifted,4,191,A_962
42,40,41,90,approach,order1,heart,shifted,4,192,A_962
43,40,36,55,approach,order1,heart,shifted,4,193,A_962
44,40,43,80,approach,order1,heart,shifted,4,194,A_962
45,80,86,75,approach,order1,heart,shifted,4,195,A_962
46,100,104,75,approach,order1,heart,shifted,4,196,A_962
47,60,67,75,approach,order1,heart,shifted,4,197,A_962
48,100,98,85,approach,order1,heart,shifted,4,198,A_962
49,100,98,65,approach,order1,heart,shifted,4,199,A_962
50,60,65,70,approach,order1,heart,shifted,4,200,A_962
1,40,32,50,approach,order1,reward,shifted,5,201,A_962
2,80,91,95,approach,order1,reward,shifted,5,202,A_962
3,60,58,90,approach,order1,reward,shifted,5,203,A_962
4,20,19,65,approach,order1,reward,shifted,5,204,A_962
5,100,95,50,approach,order1,reward,shifted,5,205,A_962
6,80,94,70,approach,order1,reward,shifted,5,206,A_962
7,80,82,85,approach,order1,reward,shifted,5,207,A_962
8,60,71,70,approach,order1,reward,shifted,5,208,A_962
9,80,91,55,approach,order1,reward,shifted,5,209,A_962
10,80,87,75,approach,order1,reward,shifted,5,210,A_962
11,100,114,90,approach,order1,reward,shifted,5,211,A_962
12,40,40,60,approach,order1,reward,shifted,5,212,A_962
13,100,85,55,approach,order1,reward,shifted,5,213,A_962
14,40,42,60,approach,order1,reward,shifted,5,214,A_962
15,20,18,50,approach,order1,reward,shifted,5,215,A_962
16,40,34,95,approach,order1,reward,shifted,5,216,A_962
17,80,74,80,approach,order1,reward,shifted,5,217,A_962
18,60,67,75,approach,order1,reward,shifted,5,218,A_962
19,80,72,85,approach,order1,reward,shifted,5,219,A_962
20,20,20,90,approach,order1,reward,shifted,5,220,A_962
21,40,38,70,approach,order1,reward,shifted,5,221,A_962
22,40,39,55,approach,order1,reward,shifted,5,222,A_962
23,100,119,60,approach,order1,reward,shifted,5,223,A_962
24,80,98,80,approach,order1,reward,shifted,5,224,A_962
25,80,97,65,approach,order1,reward,shifted,5,225,A_962
26,20,21,55,approach,order1,reward,shifted,5,226,A_962
27,40,35,75,approach,order1,reward,shifted,5,227,A_962
28,60,60,65,approach,order1,reward,shifted,5,228,A_962
29,80,77,90,approach,order1,reward,shifted,5,229,A_962
30,80,59,50,approach,order1,reward,shifted,5,230,A_962
31,20,23,80,approach,order1,reward,shifted,5,231,A_962
32,40,41,50,approach,order1,reward,shifted,5,232,A_962
33,20,20,55,approach,order1,reward,shifted,5,233,A_962
34,80,81,100,approach,order1,reward,shifted,5,234,A_962
35,100,98,90,approach,order1,reward,shifted,5,235,A_962
36,40,34,65,approach,order1,reward,shifted,5,236,A_962
37,100,91,95,approach,order1,reward,shifted,5,237,A_962
38,60,62,65,approach,order1,reward,shifted,5,238,A_962
39,100,83,80,approach,order1,reward,shifted,5,239,A_962
40,20,16,85,approach,order1,reward,shifted,5,240,A_962
41,100,101,85,approach,order1,reward,shifted,5,241,A_962
42,40,41,90,approach,order1,reward,shifted,5,242,A_962
43,40,36,55,approach,order1,reward,shifted,5,243,A_962
44,40,43,80,approach,order1,reward,shifted,5,244,A_962
45,80,86,75,approach,order1,reward,shifted,5,245,A_962
46,100,104,75,approach,order1,reward,shifted,5,246,A_962
47,60,67,75,approach,order1,reward,shifted,5,247,A_962
48,100,98,85,approach,order1,reward,shifted,5,248,A_962
49,100,98,65,approach,order1,reward,shifted,5,249,A_962
50,60,65,70,approach,order1,reward,shifted,5,250,A_962
1,-100,-115,65,avoid,order1,heart,shifted,6,251,A_962
2,-60,-59,50,avoid,order1,heart,shifted,6,252,A_962
3,-20,-19,55,avoid,order1,heart,shifted,6,253,A_962
4,-80,-88,100,avoid,order1,heart,shifted,6,254,A_962
5,-20,-18,95,avoid,order1,heart,shifted,6,255,A_962
6,-20,-21,75,avoid,order1,heart,shifted,6,256,A_962
7,-80,-87,65,avoid,order1,heart,shifted,6,257,A_962
8,-100,-100,60,avoid,order1,heart,shifted,6,258,A_962
9,-20,-20,60,avoid,order1,heart,shifted,6,259,A_962
10,-60,-63,100,avoid,order1,heart,shifted,6,260,A_962
11,-80,-93,80,avoid,order1,heart,shifted,6,261,A_962
12,-20,-16,70,avoid,order1,heart,shifted,6,262,A_962
13,-20,-21,50,avoid,order1,heart,shifted,6,263,A_962
14,-40,-39,50,avoid,order1,heart,shifted,6,264,A_962
15,-40,-38,85,avoid,order1,heart,shifted,6,265,A_962
16,-60,-52,80,avoid,order1,heart,shifted,6,266,A_962
17,-20,-22,90,avoid,order1,heart,shifted,6,267,A_962
18,-20,-17,50,avoid,order1,heart,shifted,6,268,A_962
19,-60,-57,95,avoid,order1,heart,shifted,6,269,A_962
20,-80,-93,50,avoid,order1,heart,shifted,6,270,A_962
21,-20,-17,70,avoid,order1,heart,shifted,6,271,A_962
22,-80,-76,90,avoid,order1,heart,shifted,6,272,A_962
23,-40,-36,90,avoid,order1,heart,shifted,6,273,A_962
24,-100,-95,55,avoid,order1,heart,shifted,6,274,A_962
25,-40,-44,80,avoid,order1,heart,shifted,6,275,A_962
26,-40,-35,100,avoid,order1,heart,shifted,6,276,A_962
27,-40,-41,70,avoid,order1,heart,shifted,6,277,A_962
28,-80,-86,95,avoid,order1,heart,shifted,6,278,A_962
29,-60,-51,75,avoid,order1,heart,shifted,6,279,A_962
30,-40,-37,90,avoid,order1,heart,shifted,6,280,A_962
31,-100,-103,80,avoid,order1,heart,shifted,6,281,A_962
32,-20,-19,65,avoid,order1,heart,shifted,6,282,A_962
33,-20,-20,100,avoid,order1,heart,shifted,6,283,A_962
34,-20,-22,55,avoid,order1,heart,shifted,6,284,A_962
35,-80,-85,75,avoid,order1,heart,shifted,6,285,A_962
36,-60,-59,60,avoid,order1,heart,shifted,6,286,A_962
37,-20,-19,65,avoid,order1,heart,shifted,6,287,A_962
38,-60,-62,95,avoid,order1,heart,shifted,6,288,A_962
39,-60,-59,85,avoid,order1,heart,shifted,6,289,A_962
40,-100,-97,85,avoid,order1,heart,shifted,6,290,A_962
41,-20,-21,60,avoid,order1,heart,shifted,6,291,A_962
42,-60,-54,65,avoid,order1,heart,shifted,6,292,A_962
43,-100,-99,90,avoid,order1,heart,shifted,6,293,A_962
44,-40,-32,85,avoid,order1,heart,shifted,6,294,A_962
45,-40,-43,95,avoid,order1,heart,shifted,6,295,A_962
46,-40,-38,80,avoid,order1,heart,shifted,6,296,A_962
47,-60,-61,55,avoid,order1,heart,shifted,6,297,A_962
48,-60,-58,100,avoid,order1,heart,shifted,6,298,A_962
49,-40,-42,75,avoid,order1,heart,shifted,6,299,A_962
50,-60,-59,90,avoid,order1,heart,shifted,6,300,A_962
1,-100,-115,65,avoid,order1,reward,shifted,7,301,A_962
2,-60,-59,50,avoid,order1,reward,shifted,7,302,A_962
3,-20,-19,55,avoid,order1,reward,shifted,7,303,A_962
4,-80,-88,100,avoid,order1,reward,shifted,7,304,A_962
5,-20,-18,95,avoid,order1,reward,shifted,7,305,A_962
6,-20,-21,75,avoid,order1,reward,shifted,7,306,A_962
7,-80,-87,65,avoid,order1,reward,shifted,7,307,A_962
8,-100,-100,60,avoid,order1,reward,shifted,7,308,A_962
9,-20,-20,60,avoid,order1,reward,shifted,7,309,A_962
10,-60,-63,100,avoid,order1,reward,shifted,7,310,A_962
11,-80,-93,80,avoid,order1,reward,shifted,7,311,A_962
12,-20,-16,70,avoid,order1,reward,shifted,7,312,A_962
13,-20,-21,50,avoid,order1,reward,shifted,7,313,A_962
14,-40,-39,50,avoid,order1,reward,shifted,7,314,A_962
15,-40,-38,85,avoid,order1,reward,shifted,7,315,A_962
16,-60,-52,80,avoid,order1,reward,shifted,7,316,A_962
17,-20,-22,90,avoid,order1,reward,shifted,7,317,A_962
18,-20,-17,50,avoid,order1,reward,shifted,7,318,A_962
19,-60,-57,95,avoid,order1,reward,shifted,7,319,A_962
20,-80,-93,50,avoid,order1,reward,shifted,7,320,A_962
21,-20,-17,70,avoid,order1,reward,shifted,7,321,A_962
22,-80,-76,90,avoid,order1,reward,shifted,7,322,A_962
23,-40,-36,90,avoid,order1,reward,shifted,7,323,A_962
24,-100,-95,55,avoid,order1,reward,shifted,7,324,A_962
25,-40,-44,80,avoid,order1,reward,shifted,7,325,A_962
26,-40,-35,100,avoid,order1,reward,shifted,7,326,A_962
27,-40,-41,70,avoid,order1,reward,shifted,7,327,A_962
28,-80,-86,95,avoid,order1,reward,shifted,7,328,A_962
29,-60,-51,75,avoid,order1,reward,shifted,7,329,A_962
30,-40,-37,90,avoid,order1,reward,shifted,7,330,A_962
31,-100,-103,80,avoid,order1,reward,shifted,7,331,A_962
32,-20,-19,65,avoid,order1,reward,shifted,7,332,A_962
33,-20,-20,100,avoid,order1,reward,shifted,7,333,A_962
34,-20,-22,55,avoid,order1,reward,shifted,7,334,A_962
35,-80,-85,75,avoid,order1,reward,shifted,7,335,A_962
36,-60,-59,60,avoid,order1,reward,shifted,7,336,A_962
37,-20,-19,65,avoid,order1,reward,shifted,7,337,A_962
38,-60,-62,95,avoid,order1,reward,shifted,7,338,A_962
39,-60,-59,85,avoid,order1,reward,shifted,7,339,A_962
40,-100,-97,85,avoid,order1,reward,shifted,7,340,A_962
41,-20,-21,60,avoid,order1,reward,shifted,7,341,A_962
42,-60,-54,65,avoid,order1,reward,shifted,7,342,A_962
43,-100,-99,90,avoid,order1,reward,shifted,7,343,A_962
44,-40,-32,85,avoid,order1,reward,shifted,7,344,A_962
45,-40,-43,95,avoid,order1,reward,shifted,7,345,A_962
46,-40,-38,80,avoid,order1,reward,shifted,7,346,A_962
47,-60,-61,55,avoid,order1,reward,shifted,7,347,A_962
48,-60,-58,100,avoid,order1,reward,shifted,7,348,A_962
49,-40,-42,75,avoid,order1,reward,shifted,7,349,A_962
50,-60,-59,90,avoid,order1,reward,shifted,7,350,A_962
1,-100,-115,65,avoid,order1,reward,normal,8,351,A_962
2,-60,-59,50,avoid,order1,reward,normal,8,352,A_962
3,-20,-19,55,avoid,order1,reward,normal,8,353,A_962
4,-80,-88,100,avoid,order1,reward,normal,8,354,A_962
5,-20,-18,95,avoid,order1,reward,normal,8,355,A_962
6,-20,-21,75,avoid,order1,reward,normal,8,356,A_962
7,-80,-87,65,avoid,order1,reward,normal,8,357,A_962
8,-100,-100,60,avoid,order1,reward,normal,8,358,A_962
9,-20,-20,60,avoid,order1,reward,normal,8,359,A_962
10,-60,-63,100,avoid,order1,reward,normal,8,360,A_962
11,-80,-93,80,avoid,order1,reward,normal,8,361,A_962
12,-20,-16,70,avoid,order1,reward,normal,8,362,A_962
13,-20,-21,50,avoid,order1,reward,normal,8,363,A_962
14,-40,-39,50,avoid,order1,reward,normal,8,364,A_962
15,-40,-38,85,avoid,order1,reward,normal,8,365,A_962
16,-60,-52,80,avoid,order1,reward,normal,8,366,A_962
17,-20,-22,90,avoid,order1,reward,normal,8,367,A_962
18,-20,-17,50,avoid,order1,reward,normal,8,368,A_962
19,-60,-57,95,avoid,order1,reward,normal,8,369,A_962
20,-80,-93,50,avoid,order1,reward,normal,8,370,A_962
21,-20,-17,70,avoid,order1,reward,normal,8,371,A_962
22,-80,-76,90,avoid,order1,reward,normal,8,372,A_962
23,-40,-36,90,avoid,order1,reward,normal,8,373,A_962
24,-100,-95,55,avoid,order1,reward,normal,8,374,A_962
25,-40,-44,80,avoid,order1,reward,normal,8,375,A_962
26,-40,-35,100,avoid,order1,reward,normal,8,376,A_962
27,-40,-41,70,avoid,order1,reward,normal,8,377,A_962
28,-80,-86,95,avoid,order1,reward,normal,8,378,A_962
29,-60,-51,75,avoid,order1,reward,normal,8,379,A_962
30,-40,-37,90,avoid,order1,reward,normal,8,380,A_962
31,-100,-103,80,avoid,order1,reward,normal,8,381,A_962
32,-20,-19,65,avoid,order1,reward,normal,8,382,A_962
33,-20,-20,100,avoid,order1,reward,normal,8,383,A_962
34,-20,-22,55,avoid,order1,reward,normal,8,384,A_962
35,-80,-85,75,avoid,order1,reward,normal,8,385,A_962
36,-60,-59,60,avoid,order1,reward,normal,8,386,A_962
37,-20,-19,65,avoid,order1,reward,normal,8,387,A_962
38,-60,-62,95,avoid,order1,reward,normal,8,388,A_962
39,-60,-59,85,avoid,order1,reward,normal,8,389,A_962
40,-100,-97,85,avoid,order1,reward,normal,8,390,A_962
41,-20,-21,60,avoid,order1,reward,normal,8,391,A_962
42,-60,-54,65,avoid,order1,reward,normal,8,392,A_962
43,-100,-99,90,avoid,order1,reward,normal,8,393,A_962
44,-40,-32,85,avoid,order1,reward,normal,8,394,A_962
45,-40,-43,95,avoid,order1,reward,normal,8,395,A_962
46,-40,-38,80,avoid,order1,reward,normal,8,396,A_962
47,-60,-61,55,avoid,order1,reward,normal,8,397,A_962
48,-60,-58,100,avoid,order1,reward,normal,8,398,A_962
49,-40,-42,75,avoid,order1,reward,normal,8,399,A_962
50,-60,-59,90,avoid,order1,reward,normal,8,400,A_962
