outcome_level,actual_outcome,effort,action_type,rating,trial_in_block,trial_order,attention_focus,global_effort_state,trial_in_experiment,block_number,schedule_version
-80,-68,80,avoid,False,43,order1,heart,normal,43,1,schedule_B_7
-60,-55,90,avoid,False,44,order1,heart,normal,44,1,schedule_B_7
-60,-57,90,avoid,False,45,order1,heart,normal,45,1,schedule_B_7
-40,-40,90,avoid,False,46,order1,heart,normal,46,1,schedule_B_7
-20,-23,50,avoid,False,47,order1,heart,normal,47,1,schedule_B_7
-60,-59,85,avoid,False,48,order1,heart,normal,48,1,schedule_B_7
-80,-85,60,avoid,False,49,order1,heart,normal,49,1,schedule_B_7
-20,-20,65,avoid,True,50,order1,heart,normal,50,1,schedule_B_7
-20,-20,55,avoid,False,1,order2,heart,shifted,51,2,schedule_B_7
-40,-40,90,avoid,False,2,order2,heart,shifted,52,2,schedule_B_7
-60,-55,90,avoid,False,3,order2,heart,shifted,53,2,schedule_B_7
-20,-20,65,avoid,False,4,order2,heart,shifted,54,2,schedule_B_7
-60,-56,75,avoid,False,5,order2,heart,shifted,55,2,schedule_B_7
-60,-72,100,avoid,False,6,order2,heart,shifted,56,2,schedule_B_7
-100,-81,80,avoid,True,7,order2,heart,shifted,57,2,schedule_B_7
-20,-16,95,avoid,False,8,order2,heart,shifted,58,2,schedule_B_7
-20,-19,65,avoid,False,9,order2,heart,shifted,59,2,schedule_B_7
-100,-115,55,avoid,False,10,order2,heart,shifted,60,2,schedule_B_7
-60,-59,85,avoid,False,11,order2,heart,shifted,61,2,schedule_B_7
-60,-63,60,avoid,False,12,order2,heart,shifted,62,2,schedule_B_7
-100,-98,75,avoid,True,13,order2,heart,shifted,63,2,schedule_B_7
-40,-41,85,avoid,False,14,order2,heart,shifted,64,2,schedule_B_7
-20,-23,50,avoid,False,15,order2,heart,shifted,65,2,schedule_B_7
-20,-22,90,avoid,False,16,order2,heart,shifted,66,2,schedule_B_7
-60,-53,95,avoid,False,17,order2,heart,shifted,67,2,schedule_B_7
-20,-22,60,avoid,True,18,order2,heart,shifted,68,2,schedule_B_7
-100,-97,50,avoid,False,19,order2,heart,shifted,69,2,schedule_B_7
-80,-81,90,avoid,False,20,order2,heart,shifted,70,2,schedule_B_7
-40,-45,85,avoid,False,21,order2,heart,shifted,71,2,schedule_B_7
-20,-19,60,avoid,False,22,order2,heart,shifted,72,2,schedule_B_7
-60,-63,100,avoid,False,23,order2,heart,shifted,73,2,schedule_B_7
-80,-84,50,avoid,False,24,order2,heart,shifted,74,2,schedule_B_7
-60,-57,90,avoid,False,25,order2,heart,shifted,75,2,schedule_B_7
-40,-40,80,avoid,False,26,order2,heart,shifted,76,2,schedule_B_7
-80,-88,55,avoid,True,27,order2,heart,shifted,77,2,schedule_B_7
-20,-20,75,avoid,False,28,order2,heart,shifted,78,2,schedule_B_7
-80,-68,80,avoid,False,29,order2,heart,shifted,79,2,schedule_B_7
-80,-87,85,avoid,False,30,order2,heart,shifted,80,2,schedule_B_7
-80,-63,100,avoid,False,31,order2,heart,shifted,81,2,schedule_B_7
-40,-34,70,avoid,False,32,order2,heart,shifted,82,2,schedule_B_7
-60,-59,80,avoid,False,33,order2,heart,shifted,83,2,schedule_B_7
-100,-89,100,avoid,True,34,order2,heart,shifted,84,2,schedule_B_7
-80,-85,60,avoid,False,35,order2,heart,shifted,85,2,schedule_B_7
-80,-75,95,avoid,False,36,order2,heart,shifted,86,2,schedule_B_7
-40,-41,75,avoid,False,37,order2,heart,shifted,87,2,schedule_B_7
-80,-77,100,avoid,False,38,order2,heart,shifted,88,2,schedule_B_7
-100,-106,65,avoid,False,39,order2,heart,shifted,89,2,schedule_B_7
-40,-36,95,avoid,False,40,order2,heart,shifted,90,2,schedule_B_7
-40,-36,80,avoid,False,41,order2,heart,shifted,91,2,schedule_B_7
-20,-22,50,avoid,False,42,order2,heart,shifted,92,2,schedule_B_7
-20,-19,100,avoid,True,43,order2,heart,shifted,93,2,schedule_B_7
-60,-58,95,avoid,False,44,order2,heart,shifted,94,2,schedule_B_7
-20,-22,85,avoid,False,45,order2,heart,shifted,95,2,schedule_B_7
-80,-81,70,avoid,False,46,order2,heart,shifted,96,2,schedule_B_7
-20,-18,55,avoid,False,47,order2,heart,shifted,97,2,schedule_B_7
-100,-93,90,avoid,False,48,order2,heart,shifted,98,2,schedule_B_7
-80,-89,75,avoid,False,49,order2,heart,shifted,99,2,schedule_B_7
-40,-46,75,avoid,True,50,order2,heart,shifted,100,2,schedule_B_7
80,80,85,approach,False,1,order1,heart,normal,101,3,schedule_B_7
40,51,70,approach,False,2,order1,heart,normal,102,3,schedule_B_7
20,20,60,approach,False,3,order1,heart,normal,103,3,schedule_B_7
20,20,70,approach,False,4,order1,heart,normal,104,3,schedule_B_7
100,105,80,approach,False,5,order1,heart,normal,105,3,schedule_B_7
40,36,55,approach,False,6,order1,heart,normal,106,3,schedule_B_7
80,70,70,approach,False,7,order1,heart,normal,107,3,schedule_B_7
80,77,85,approach,True,8,order1,heart,normal,108,3,schedule_B_7
20,19,100,approach,False,9,order1,heart,normal,109,3,schedule_B_7
60,63,50,approach,False,10,order1,heart,normal,110,3,schedule_B_7
40,41,55,approach,False,11,order1,heart,normal,111,3,schedule_B_7
60,68,80,approach,False,12,order1,heart,normal,112,3,schedule_B_7
40,27,90,approach,False,13,order1,heart,normal,113,3,schedule_B_7
20,21,50,approach,False,14,order1,heart,normal,114,3,schedule_B_7
20,20,50,approach,True,15,order1,heart,normal,115,3,schedule_B_7
60,56,95,approach,False,16,order1,heart,normal,116,3,schedule_B_7
60,49,70,approach,False,17,order1,heart,normal,117,3,schedule_B_7
40,38,80,approach,False,18,order1,heart,normal,118,3,schedule_B_7
60,73,65,approach,False,19,order1,heart,normal,119,3,schedule_B_7
40,40,60,approach,False,20,order1,heart,normal,120,3,schedule_B_7
60,56,65,approach,False,21,order1,heart,normal,121,3,schedule_B_7
80,62,80,approach,False,22,order1,heart,normal,122,3,schedule_B_7
60,49,70,approach,False,23,order1,heart,normal,123,3,schedule_B_7
60,63,100,approach,True,24,order1,heart,normal,124,3,schedule_B_7
80,82,95,approach,False,25,order1,heart,normal,125,3,schedule_B_7
20,19,75,approach,False,26,order1,heart,normal,126,3,schedule_B_7
100,77,100,approach,False,27,order1,heart,normal,127,3,schedule_B_7
80,72,75,approach,False,28,order1,heart,normal,128,3,schedule_B_7
20,19,55,approach,False,29,order1,heart,normal,129,3,schedule_B_7
40,44,85,approach,False,30,order1,heart,normal,130,3,schedule_B_7
40,42,100,approach,True,31,order1,heart,normal,131,3,schedule_B_7
100,101,70,approach,False,32,order1,heart,normal,132,3,schedule_B_7
80,72,100,approach,False,33,order1,heart,normal,133,3,schedule_B_7
20,22,90,approach,False,34,order1,heart,normal,134,3,schedule_B_7
40,37,65,approach,False,35,order1,heart,normal,135,3,schedule_B_7
40,37,95,approach,False,36,order1,heart,normal,136,3,schedule_B_7
80,66,60,approach,True,37,order1,heart,normal,137,3,schedule_B_7
100,84,85,approach,False,38,order1,heart,normal,138,3,schedule_B_7
60,55,85,approach,False,39,order1,heart,normal,139,3,schedule_B_7
60,56,75,approach,False,40,order1,heart,normal,140,3,schedule_B_7
100,93,85,approach,False,41,order1,heart,normal,141,3,schedule_B_7
80,88,50,approach,False,42,order1,heart,normal,142,3,schedule_B_7
80,79,75,approach,False,43,order1,heart,normal,143,3,schedule_B_7
100,88,90,approach,False,44,order1,heart,normal,144,3,schedule_B_7
100,98,90,approach,False,45,order1,heart,normal,145,3,schedule_B_7
40,44,75,approach,True,46,order1,heart,normal,146,3,schedule_B_7
100,98,60,approach,False,47,order1,heart,normal,147,3,schedule_B_7
60,53,75,approach,False,48,order1,heart,normal,148,3,schedule_B_7
80,75,80,approach,False,49,order1,heart,normal,149,3,schedule_B_7
100,102,80,approach,True,50,order1,heart,normal,150,3,schedule_B_7
80,72,100,approach,False,1,order2,heart,shifted,151,4,schedule_B_7
100,98,60,approach,False,2,order2,heart,shifted,152,4,schedule_B_7
60,55,85,approach,False,3,order2,heart,shifted,153,4,schedule_B_7
20,20,60,approach,False,4,order2,heart,shifted,154,4,schedule_B_7
40,36,55,approach,False,5,order2,heart,shifted,155,4,schedule_B_7
100,98,90,approach,False,6,order2,heart,shifted,156,4,schedule_B_7
80,72,75,approach,False,7,order2,heart,shifted,157,4,schedule_B_7
40,38,80,approach,False,8,order2,heart,shifted,158,4,schedule_B_7
20,19,75,approach,True,9,order2,heart,shifted,159,4,schedule_B_7
80,66,60,approach,False,10,order2,heart,shifted,160,4,schedule_B_7
60,53,75,approach,False,11,order2,heart,shifted,161,4,schedule_B_7
60,56,65,approach,False,12,order2,heart,shifted,162,4,schedule_B_7
20,19,100,approach,False,13,order2,heart,shifted,163,4,schedule_B_7
60,68,80,approach,False,14,order2,heart,shifted,164,4,schedule_B_7
40,41,55,approach,False,15,order2,heart,shifted,165,4,schedule_B_7
100,77,100,approach,True,16,order2,heart,shifted,166,4,schedule_B_7
20,20,70,approach,False,17,order2,heart,shifted,167,4,schedule_B_7
80,82,95,approach,False,18,order2,heart,shifted,168,4,schedule_B_7
60,73,65,approach,False,19,order2,heart,shifted,169,4,schedule_B_7
20,22,90,approach,False,20,order2,heart,shifted,170,4,schedule_B_7
40,40,60,approach,False,21,order2,heart,shifted,171,4,schedule_B_7
20,20,50,approach,False,22,order2,heart,shifted,172,4,schedule_B_7
40,44,85,approach,False,23,order2,heart,shifted,173,4,schedule_B_7
80,88,50,approach,True,24,order2,heart,shifted,174,4,schedule_B_7
60,63,50,approach,False,25,order2,heart,shifted,175,4,schedule_B_7
20,21,50,approach,False,26,order2,heart,shifted,176,4,schedule_B_7
100,93,85,approach,False,27,order2,heart,shifted,177,4,schedule_B_7
40,37,95,approach,False,28,order2,heart,shifted,178,4,schedule_B_7
80,62,80,approach,False,29,order2,heart,shifted,179,4,schedule_B_7
80,79,75,approach,True,30,order2,heart,shifted,180,4,schedule_B_7
80,77,85,approach,False,31,order2,heart,shifted,181,4,schedule_B_7
80,80,85,approach,False,32,order2,heart,shifted,182,4,schedule_B_7
60,56,75,approach,False,33,order2,heart,shifted,183,4,schedule_B_7
100,88,90,approach,False,34,order2,heart,shifted,184,4,schedule_B_7
40,37,65,approach,True,35,order2,heart,shifted,185,4,schedule_B_7
60,56,95,approach,False,36,order2,heart,shifted,186,4,schedule_B_7
40,42,100,approach,False,37,order2,heart,shifted,187,4,schedule_B_7
40,44,75,approach,False,38,order2,heart,shifted,188,4,schedule_B_7
100,84,85,approach,False,39,order2,heart,shifted,189,4,schedule_B_7
60,49,70,approach,False,40,order2,heart,shifted,190,4,schedule_B_7
80,75,80,approach,False,41,order2,heart,shifted,191,4,schedule_B_7
60,63,100,approach,True,42,order2,heart,shifted,192,4,schedule_B_7
40,51,70,approach,False,43,order2,heart,shifted,193,4,schedule_B_7
100,102,80,approach,False,44,order2,heart,shifted,194,4,schedule_B_7
100,105,80,approach,False,45,order2,heart,shifted,195,4,schedule_B_7
20,19,55,approach,False,46,order2,heart,shifted,196,4,schedule_B_7
80,70,70,approach,False,47,order2,heart,shifted,197,4,schedule_B_7
60,49,70,approach,False,48,order2,heart,shifted,198,4,schedule_B_7
100,101,70,approach,False,49,order2,heart,shifted,199,4,schedule_B_7
40,27,90,approach,True,50,order2,heart,shifted,200,4,schedule_B_7
